alim_code,alim_name,alim_group,alim_sub_group,alim_sub_sub_group,kcalfor100g,proteinfor100g,carbohydratefor100g,lipidfor100g,sugarfor100g,cholesterolfor100g,saltfor100g,weight_for_one,basic_unity,thousand_unity
13004,"Avocat, pulpe, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,155,1.61,3.67,13.8,1,0.5,0.063,1,g,Kg
20004,"Bette ou blette, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,12.3,1,0.5,0.5,0.5,0,0.57,1,g,Kg
20009,"Carotte, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,36.4,0.77,6.45,0.26,5.42,0,0.098,250,,
20010,"Champignon, tout type, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.6,2.34,1.88,0.23,1.43,0,0.012,1,g,Kg
20012,"Salade ou chicorée frisée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,22.7,1.48,2.4,0.25,0.7,0,0.077,1,g,Kg
20014,"Chou rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,29.1,1.34,4.5,0.18,3.49,0,0.047,1,g,Kg
20016,"Chou-fleur, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,23,1.77,02.05,0.31,1.56,0,0.0092,1,g,Kg
20019,"Concombre, pulpe et peau, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,13.6,0.64,02.04,0.11,1.34,0,0.012,1,g,Kg
20020,"Courgette, pulpe et peau, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,16.5,1.22,1.8,0.26,1.79,0,0.017,250,,
20022,"Cresson de fontaine, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,14.9,02.06,0.9,0.15,0.2,0,0.13,1,g,Kg
20023,"Céleri branche, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.5,0.66,3.6,0.19,1.27,0,0.2,1,g,Kg
20026,"Endive, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,20.8,1.1,3.15,0.2,2.2,0,0.005,1,g,Kg
20028,"Fenouil, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,20,1.14,2.3,0.2,2.21,0,0.074,1,g,Kg
20031,"Laitue, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,15.1,1.3,1.33,0.2,0.73,0,0.021,1,g,Kg
20034,"Oignon, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,39,1.1,6.25,0.62,4.8,0,0.098,100,,
20038,"Pissenlit, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,48.8,2.84,6.1,0.85,0.71,0,0.22,1,g,Kg
20039,"Poireau, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,32.6,1.59,4.9,0.25,3.15,0,0.034,150,,
20041,"Poivron, vert, jaune ou rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,26.8,0.8,4.55,0.27,2.7,0,0.021,160,,
20044,"Potiron, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,19.9,1,3.5,0.1,1.36,0,0.0025,1,g,Kg
20045,"Radis rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,11.4,0.76,1.24,0.1,1.24,0,0.077,1,g,Kg
20047,"Tomate, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,18.4,0.86,2.26,0.26,2.25,0,0.0081,100,,
20052,"Artichaut, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,45.7,3.1,05.02,0.18,0.99,0,0.15,1,g,Kg
20053,"Aubergine, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.2,1.12,2.39,0.14,2.39,0,0.0063,225,,
20054,"Cardon, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,13.6,0.66,1.7,0.1,1.5,0,0.3,1,g,Kg
20055,"Céleri-rave, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,32.4,1.5,4.3,0.2,3.6,0,0.2,1,g,Kg
20056,"Champignon de Paris ou champignon de couche, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.1,2.62,1.33,0.36,01.06,0,0.098,1,g,Kg
20057,"Brocoli, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,35.9,3.95,1.68,0.48,1.68,0,0.048,1,g,Kg
20058,"Chou de Bruxelles, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,50.1,3.98,5.67,0.4,2.2,0,0.041,1,g,Kg
20059,"Épinard, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,28.7,2.62,2.25,0.5,0.32,0,0.16,1,g,Kg
20061,"Haricot vert, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,31,1.85,3.85,0.21,03.03,0,0.0096,1,g,Kg
20064,"Navet, pelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,26.8,0.82,4.7,0.1,3.8,0,0.11,1,g,Kg
20065,"Chou-rave, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25.1,1.79,2.35,0.1,2.35,0,0.05,1,g,Kg
20069,"Chou vert, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25.3,2.53,0.99,0.41,0.99,0,0.065,1,g,Kg
20070,"Haricot vert, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,34,1.97,4.35,0.17,1.96,0,0.013,1,g,Kg
20072,"Petits pois, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,67.3,5.84,7,0.55,5.67,0,0.0088,1,g,Kg
20073,"Asperge, pelée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,23.5,02.04,2.4,0.21,1.88,0,0.011,1,g,Kg
20082,"Chou-fleur, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25.9,02.09,2.64,0.37,1.91,0,0.047,1,g,Kg
20083,"Épinard, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,24.9,2.87,0.89,0.49,0.6,0,0.098,1,g,Kg
20084,"Petits pois, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,75.4,5.86,8.77,0.44,3.87,0,0.09,1,g,Kg
20085,"Poivron vert, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,19.8,0.74,2.8,0.24,2.18,0,0.0032,160,,
20087,"Poivron rouge, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,29.4,1.12,4.5,0.35,4.13,0,0.012,160,,
20089,"Radis noir, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,20.3,0.9,3.1,0.1,,,0.022,1,g,Kg
20090,"Scarole, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,14.5,1.33,0.3,0.2,0.23,0,0.048,1,g,Kg
20091,"Betterave rouge, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,50.6,1.74,9.1,0.24,6.76,0,0.15,1,g,Kg
20097,"Échalote, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,58.7,1.84,8.35,1.43,3.63,0,0.043,1,g,Kg
20099,"Mâche, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,19.2,2.3,0.6,0.4,,0,0.032,1,g,Kg
20101,"Légumes, mélange surgelé, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,65.1,2.26,5.71,2.65,2.18,0,0.6,1,g,Kg
20103,"Champignon, chanterelle ou girolle, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,33.1,2.28,2.3,0.78,1.87,0,0.016,1,g,Kg
20105,"Champignon, morille, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,24.5,3.16,0.1,0.54,0.044,,0.064,1,g,Kg
20108,"Maïs doux, en épis, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,97.4,3.36,17,1.19,3.78,0,0.01,1,g,Kg
20111,"Oseille, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,23.4,1.89,1.6,0.65,1.54,0,0.0094,1,g,Kg
20114,"Champignon, pleurote, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25.5,03.06,1.5,0.36,0.71,0,0.034,1,g,Kg
20116,"Chou blanc, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,28.4,1.25,4.25,0.2,,0,0.024,700,,
20119,"Tomate verte, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,24.8,1.2,4,0.2,4,0,0.033,1,g,Kg
20126,"Haricot de Lima, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,105,6.84,15.3,0.86,1.48,0,0.02,1,g,Kg
20128,"Courge musquée, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,23.5,0.55,4.6,0.1,,,,1,g,Kg
20132,"Potimarron, pulpe, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,18,0.63,3.1,0.1,,0,0.074,1,g,Kg
20134,"Courge hokkaïdo, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,56.1,1.4,9.98,0.6,,,,1,g,Kg
20136,"Courge melonnette, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,30.8,0.75,5.98,0.13,,,,1,g,Kg
20138,"Courge doubeurre (butternut), pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25,1,04.03,0.1,2.2,0,0.01,1,g,Kg
20139,"Courge, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,14.9,1.1,1.6,0.17,1.6,0,0.011,1,g,Kg
20145,"Courge spaghetti, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,32.3,0.64,5.41,0.57,2.76,0,0.043,1,g,Kg
20151,"Piment, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,44.5,1.87,7.7,0.32,5.3,0,0.02,1,g,Kg
20159,"Champignon, oronge vraie, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,23.2,2,2.45,0.3,1,0,0.013,1,g,Kg
20160,"Champignon, cèpe, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,31.6,3.13,03.03,0.43,1.7,0,0.024,1,g,Kg
20161,"Champignon, rosé des prés, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,25.3,2.3,2.45,0.4,1,0,0.013,1,g,Kg
20162,"Chicorée rouge, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,18.9,1.4,1.6,0.1,1.6,0,0.018,1,g,Kg
20163,"Chicorée verte, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,16.1,1.9,0.5,0.5,0.5,0,0.041,1,g,Kg
20166,"Citrouille, pulpe, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,29.9,1,6,0.1,2.76,0,0.0025,1,g,Kg
20167,"Chou chinois ou pak-choi ou pé-tsai, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,16,1.38,1.65,0.2,1.18,0,0.13,1,g,Kg
20168,"Poivron jaune, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,29.4,1,5.42,0.21,,0,0.005,160,,
20171,"Laitue romaine, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,17.3,1.24,1.35,0.3,1.19,0,0.018,1,g,Kg
20172,"Tomate cerise, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.4,0.8,3,0.4,2.96,0,0.033,1,g,Kg
20173,"Pois mange-tout ou pois gourmand, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,44.8,03.08,6.2,0.27,4,0,0.01,1,g,Kg
20181,"Panais, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,58.3,1.54,10.1,0.4,4.8,0,0.02,1,g,Kg
20183,"Haricot mungo germé ou pousse de ""soja"", cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,30.5,2.57,3.4,0.5,3.4,0,0.043,1,g,Kg
20195,"Haricot beurre, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,36.1,1.85,5.6,0.16,,0,0.015,1,g,Kg
20197,"Salsifis noir, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,83.1,3.21,15.3,0.27,,0,0.031,1,g,Kg
20198,"Bambou, pousse, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,35.1,2.52,05.08,0.2,3,0,0.01,1,g,Kg
20199,"Cresson alénois, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,27.1,2.55,2.2,0.6,2.2,0,0.096,1,g,Kg
20200,"Laitue iceberg, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,17.7,01.01,2.45,0.18,1.48,0,0.024,1,g,Kg
20201,"Rutabaga, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,33.8,1.17,5.7,0.13,4.46,0,0.028,1,g,Kg
20203,"Haricot beurre, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,33.8,2,4.9,0.17,2.5,0,0.0092,1,g,Kg
20204,"Brocoli, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,26.9,2.79,1.56,0.44,1.24,0,0.05,1,g,Kg
20206,"Chou de Bruxelles, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,43.2,3.43,4.5,0.33,2.35,0,0.029,1,g,Kg
20208,"Carotte, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,30.5,0.63,4.99,0.27,4.73,0,0.15,1,g,Kg
20210,"Concombre, pulpe, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,11.4,0.58,1.5,0.19,1.38,0,0.016,1,g,Kg
20214,"Petits pois et carottes, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,55.9,3.89,7.1,0.37,3.43,0,0.082,1,g,Kg
20217,"Roquette, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,27.9,2.58,2.1,0.66,02.05,0,0.068,1,g,Kg
20218,"Chou frisé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,53.5,4.33,4.2,01.07,2.26,0,0.091,1,g,Kg
20228,"Champignon de Paris ou champignon de couche, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,15.9,1.8,0.83,0.25,0.25,,0.02,1,g,Kg
20230,"Courgette, pulpe et peau, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,17.8,1.19,2.18,0.14,1.56,0,0.019,1,g,Kg
20231,"Crosne, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,40.4,1.4,8.7,0,0.5,,0.0025,1,g,Kg
20232,"Artichaut, fond, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,59.7,02.08,08.09,0.43,1.89,,0.18,1,g,Kg
20233,"Maïs doux, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,105,3.28,19.8,0.78,3.78,0,0.013,1,g,Kg
20234,"Navet, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,16.6,0.82,2,0.18,1.9,0,0.066,1,g,Kg
20235,"Oignon, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,31.9,1,5.39,0.12,4.59,0,0.02,1,g,Kg
20236,"Poireau, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,36.4,1.42,3.35,1.36,2.76,,0.016,1,g,Kg
20237,"Salsifis, surgelé, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,40.2,2.65,4.15,0.15,2.5,,0.043,1,g,Kg
20263,"Légumes pour potages, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,34.1,1.44,4.69,0.44,2.5,,0.052,1,g,Kg
20265,"Julienne ou brunoise de légumes, surgelée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,27.9,1.19,04.08,0.25,3.13,,0.1,1,g,Kg
20266,"Légumes pour ratatouille, surgelés","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,21.1,01.01,3.23,0.089,2.88,,0.11,1,g,Kg
20267,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,51.5,2.4,8.48,0.078,2.62,,0.04,1,g,Kg
20269,"Haricot plat, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,32.6,1.93,4.47,0.12,1.3,,0.049,1,g,Kg
20270,"Épinard, jeunes pousses pour salades, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,22.1,2.9,0.92,0.5,0.2,,0.2,1,g,Kg
20272,"Mesclun ou salade, mélange de jeunes pousses","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,22,2,2.5,0,0,,0.048,1,g,Kg
20279,"Asperge, verte, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,24.7,2.46,02.03,0.27,1.5,0,0.014,1,g,Kg
20280,"Chou romanesco ou brocoli à pomme, cru","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,28.8,2.93,2.2,0.4,2.2,0,0.039,1,g,Kg
20282,"Asperge, blanche ou violette, pelée, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,26.3,2.5,2.5,0.3,,0,0.019,1,g,Kg
20283,"Salicorne (Salicornia sp.), fraîche","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,14.1,0.67,1.1,0.24,,,2.56,1,g,Kg
20496,"Légumes pour couscous, surgelés, crus","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,46.5,02.05,6.75,0.7,03.05,,0.12,1,g,Kg
25604,"Salade verte, crue, sans assaisonnement","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,13.5,01.01,1.5,0.1,0.83,0.5,0.046,1,g,Kg
53100,"Banane plantain, crue","fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,132,1.28,29.6,0.39,,0,0.01,1,g,Kg
20000,"Artichaut, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,33.2,2.53,0.99,0.28,0.99,0,0.14,1,g,Kg
20001,"Asperge, bouillie/cuite à l'eau","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,19.8,2.53,0.81,0.32,0.81,0,0.028,1,g,Kg
20002,"Aubergine, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,32.7,1.23,4.17,0.28,3.41,0,0.015,225,,
20003,"Betterave rouge, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,47.2,1.84,8.56,0.18,7.96,0,0.13,1,g,Kg
20005,"Bette ou blette, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,12.1,0.7,0.46,0.5,0.46,0,0.25,1,g,Kg
20006,"Brocoli, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,22.8,2.1,1.1,0.78,1.1,0,0.098,1,g,Kg
20007,"Carotte, appertisée, égouttée","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,21.8,0.66,3.38,0.2,2.49,0,0.62,1,g,Kg
20008,"Carotte, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,19,0.55,2.6,0.1,2.51,0,0.051,1,g,Kg
20011,"Champignon, tout type, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,24.9,1.87,2.56,0.29,2.18,0,0.8,1,g,Kg
20013,"Chou de Bruxelles, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,34.6,2.6,4.2,0.11,1.7,0,0.024,1,g,Kg
20015,"Chou vert, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,25.1,01.03,03.04,0.45,2.79,0,0.098,1,g,Kg
20017,"Chou-fleur, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,20.9,1.6,1.6,0.46,1.59,0,0.017,1,g,Kg
20018,"Coeur de palmier, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,35.3,2.53,04.03,0.5,1.5,0,0.97,1,g,Kg
20021,"Courgette, pulpe et peau, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,15.5,0.93,1.4,0.36,1.39,0,0.098,250,,
20024,"Céleri branche, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,12.7,0.82,1.2,0.16,1.2,0,0.22,1,g,Kg
20025,"Céleri-rave, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,36.5,1.3,4.6,0.86,2.8,0,0.15,1,g,Kg
20027,"Épinard, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,21.5,3.2,0.5,0.14,0.47,0,0.069,1,g,Kg
20029,"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,20.6,1.56,2.36,0.12,1.78,0,0.35,1,g,Kg
20030,"Haricot vert, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,29.4,2,3,0.17,1,0,0.4,1,g,Kg
20033,"Navet, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,25,0.9,3.8,0.2,2.9,0,0.073,1,g,Kg
20035,"Oignon, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,34.6,1.3,6.2,0.2,4,0,0.021,1,g,Kg
20036,"Petits pois, appertisés, égouttés","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,81.5,5.12,10.7,0.8,3.59,0,0.64,1,g,Kg
20037,"Petits pois, cuits","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,61.4,5.8,4.7,0.87,1.8,0,0.018,1,g,Kg
20040,"Poireau, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,24.6,1.1,3,0.2,2.11,0,0.015,150,,
20043,"Potiron, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,32.8,0.93,5.19,0.28,3.3,0,0.31,1,g,Kg
20046,"Salsifis, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,67.7,2.74,12.3,0.17,2.9,0,0.04,1,g,Kg
20048,"Tomate, pelée, appertisée, égouttée","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,18.3,01.07,1.89,0.28,1.88,0,0.28,1,g,Kg
20049,"Maïs doux, en épis, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,78.6,3.36,11.7,1.5,4.54,0,0.023,1,g,Kg
20051,"Macédoine de légumes, appertisée, égouttée","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,40.6,2.38,5.59,0.28,1.73,0,0.59,1,g,Kg
20060,"Épinard, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,24.5,2.81,0.93,0.5,0.4,0,0.81,1,g,Kg
20062,"Haricot vert, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,19.9,1.33,1.23,0.31,0.46,0,0.69,1,g,Kg
20063,"Haricot beurre, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,24.2,1.22,3.48,0.23,0.86,0,0.66,1,g,Kg
20066,"Maïs doux, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,106,2.82,18.4,1.68,5.16,0,0.59,1,g,Kg
20067,"Artichaut, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,39.8,1.5,6.5,0.2,1.5,,0.8,1,g,Kg
20068,"Tomate, concentré, appertisé","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,99.2,4.4,17.1,0.53,13.3,0,0.27,1,g,Kg
20071,"Haricot vert, surgelé, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,35.9,1.84,5.1,0.19,1.23,0,0.0097,1,g,Kg
20076,"Asperge, appertisée, égouttée","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,18.3,1.79,1.43,0.27,1.23,0,0.7,1,g,Kg
20077,"Chou de Bruxelles, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,38.1,2.56,4.1,0.53,2.5,0,0.63,1,g,Kg
20078,"Céleri branche, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,13.5,0.72,1.38,0.15,0.8,,0.73,1,g,Kg
20079,"Champignon de Paris ou champignon de couche, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,19.4,2.23,0.7,0.37,0,0,0.63,1,g,Kg
20081,"Salsifis, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,28.9,1.38,4.25,0.15,1,,0.71,1,g,Kg
20086,"Poivron vert, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,17.4,0.93,2.36,0.2,2.36,0,0.005,160,,
20088,"Poivron rouge, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,39.9,1.21,7,0.3,6,,0.0055,160,,
20093,"Petits pois et carottes, appertisés, égouttés","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,50.1,2.57,7.59,0.33,3.89,0,0.61,1,g,Kg
20094,"Chou-rave, bouilli/cuit à l'eau","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,28,1.8,4.4,0.11,2.8,0,0.053,1,g,Kg
20095,"Chou rouge, bouilli/cuit à l'eau","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,25.3,1.51,3.32,0.09,3.32,0,0.044,1,g,Kg
20096,"Potiron, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,25.9,0.81,4.5,0.07,3.1,1.39,0.01,1,g,Kg
20102,"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,28.7,2.17,3,0.47,2.34,0,0.005,1,g,Kg
20118,"Fenouil, bouilli/cuit à l'eau","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,12.2,1.13,0.8,0.1,0.5,0,0.15,1,g,Kg
20121,"Épinard, surgelé, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,33.3,04.01,0.51,0.87,0.51,0,0.24,1,g,Kg
20122,"Chou-fleur, surgelé, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,18,1.61,01.05,0.22,01.03,0,0.045,1,g,Kg
20124,"Petits pois, surgelés, cuits","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,65.8,5.15,7.95,0.27,4.65,0,0.18,1,g,Kg
20125,"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,29.1,2.99,2.8,0.33,0,0,0.02,1,g,Kg
20133,"Panais, cuit","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,67.8,1.32,13.4,0.3,4.8,0,0.025,1,g,Kg
20135,Fondue de poireau,"fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,58.4,1.1,0,5.2,,,0.5,1,g,Kg
20143,"Courge spaghetti, pulpe, cuite","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,28,0.66,05.06,0.26,2.53,0,0.045,1,g,Kg
20155,"Artichaut, coeur, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,26,1.8,2.31,0.5,1.2,,0.78,1,g,Kg
20156,"Artichaut, fond, appertisé, égoutté","fruits, légumes, légumineuses et oléagineux",légumes,légumes cuits,25.2,1.2,03.02,0.5,0.8,,0.73,1,g,Kg
